number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
29,5.430463350355565,0.9390957349562056,-41.33520322999621,2026-04-18 15:30:39.811042,2026-04-18 15:30:40.639586,0 days 00:00:00.828544,0.8809936335948436,4,134,0.14270774024443011,77,359,1.7195719847367482e-05,4.388606059101698e-06,0.8788062963981071,0,COMPLETE
30,5.366885681073905,0.9397953634846716,-41.37290660744171,2026-04-18 15:30:40.639867,2026-04-18 15:30:43.264330,0 days 00:00:02.624463,0.9193180715867101,9,139,0.05770902485860905,56,534,0.007074168123960424,0.020782696494253808,0.8006065178748798,0,COMPLETE
31,5.168795475978127,0.9434979809773223,-40.65856688512111,2026-04-18 15:30:43.264626,2026-04-18 15:30:45.685475,0 days 00:00:02.420849,0.6143769095186968,10,69,0.053915976081982384,18,269,0.0001550180120475692,0.0007652471350809116,0.8313120563984696,0,COMPLETE
32,20.368832616043683,0.5061916189922003,-13.186203825186913,2026-04-18 15:30:45.685744,2026-04-18 15:30:46.216436,0 days 00:00:00.530692,0.6508242050607539,7,24,0.00420281152113476,84,115,0.0005014057851649953,0.08510243330316114,0.7440762565645052,0,COMPLETE
33,21.22930224191309,0.45912518460368046,-11.613830691292087,2026-04-18 15:30:46.216729,2026-04-18 15:30:46.962733,0 days 00:00:00.746004,0.8549719605992826,7,26,0.0029488063388958506,58,142,0.0342627331241641,6.062736806014784,0.8162540486440426,0,COMPLETE
34,5.239095967378354,0.9420756792444605,-40.962623401120084,2026-04-18 15:30:46.962997,2026-04-18 15:30:48.208379,0 days 00:00:01.245382,0.610140297366183,5,55,0.013289745828881445,49,498,4.611431184204183,0.33405739074934476,0.6313825525369063,0,COMPLETE
35,5.228875040684789,0.9423476226889861,-41.271873995951466,2026-04-18 15:30:48.208662,2026-04-18 15:30:49.089956,0 days 00:00:00.881294,0.8858383690800249,6,40,0.032696659634451126,32,186,0.008745333795459427,3.3067782505821335e-06,0.8196906658824482,0,COMPLETE
36,5.404522836455945,0.9397680685087908,-41.06501596911818,2026-04-18 15:30:49.090276,2026-04-18 15:30:50.484582,0 days 00:00:01.394306,0.7423890714605046,8,100,0.11963933511886403,48,377,0.06616297031744844,1.3475391688833286e-08,0.699092395800463,0,COMPLETE
37,24.649383473724388,0.2750222854056149,-5.96784861962063,2026-04-18 15:30:50.484850,2026-04-18 15:30:50.787293,0 days 00:00:00.302443,0.6391336642604005,3,132,0.0017888942100339285,74,120,0.0002657925942352368,0.00018249288504126838,0.78966953163493,0,COMPLETE
38,17.226567774332874,0.6441647918329427,-18.442991671381638,2026-04-18 15:30:50.787570,2026-04-18 15:30:51.713548,0 days 00:00:00.925978,0.7498450458505885,6,100,0.0023817878481417814,67,299,0.004292786024278082,0.00033746312759494907,0.6181216039088178,0,COMPLETE
39,5.337595658448872,0.9403989949123972,-41.30246862950247,2026-04-18 15:30:51.713827,2026-04-18 15:30:52.395131,0 days 00:00:00.681304,0.8343102325093853,8,29,0.07308025547229001,68,181,2.897825120061561,0.001511010912721949,0.6106045242166487,0,COMPLETE
40,8.1533701538223,0.8942516629131825,-35.34086669863608,2026-04-18 15:30:52.395418,2026-04-18 15:30:53.395458,0 days 00:00:01.000040,0.9844762255295657,8,91,0.006993477523765754,95,329,1.4065519514511133,5.782560870607466e-07,0.7544410551203097,0,COMPLETE
41,25.7435404576918,0.20851392912245154,-4.16272018797184,2026-04-18 15:30:53.395738,2026-04-18 15:30:53.695046,0 days 00:00:00.299308,0.7275902521175045,3,32,0.0014155868529879955,72,109,0.40167777132330196,1.6197478853301623e-08,0.6284754593840916,0,COMPLETE
42,5.3544030707977415,0.9391823193708358,-41.35312970354829,2026-04-18 15:30:53.695367,2026-04-18 15:30:54.212369,0 days 00:00:00.517002,0.8940284175215543,5,111,0.05920491279146766,67,159,0.170344601047587,3.4539110844500054e-06,0.9509888054108212,0,COMPLETE
43,12.338158114158695,0.806644853694093,-27.13185920529738,2026-04-18 15:30:54.212668,2026-04-18 15:30:56.093525,0 days 00:00:01.880857,0.9105651842967988,9,149,0.0024329021389946463,47,504,1.1674327227577309e-05,2.38130997092364,0.7488072343171133,0,COMPLETE
44,5.1691701410061555,0.9434115943319281,-41.44603415412887,2026-04-18 15:30:56.093805,2026-04-18 15:30:58.631672,0 days 00:00:02.537867,0.8021009489791429,6,118,0.07378778708706622,19,476,0.27423140893587533,7.593577142680321e-06,0.9610211626718267,0,COMPLETE
45,5.1204980438256245,0.9442671538160303,-41.43783172521489,2026-04-18 15:30:58.631975,2026-04-18 15:30:59.666321,0 days 00:00:01.034346,0.980024786820322,6,138,0.08886694893516042,18,105,3.5930587834138925,0.001448575024622653,0.7277254550361659,0,COMPLETE
46,5.446795378482038,0.9377928658470042,-41.36233746088285,2026-04-18 15:30:59.666604,2026-04-18 15:31:02.563164,0 days 00:00:02.896560,0.9166316174903394,6,63,0.02371021185795433,71,246,0.1278095439355726,6.619953325728894e-08,0.900949811775072,0,COMPLETE
47,5.97852502948017,0.9297125115304142,-40.07572642117036,2026-04-18 15:31:02.563472,2026-04-18 15:31:04.225823,0 days 00:00:01.662351,0.6468268065710423,3,77,0.011909779017876168,90,375,1.936088201918842e-07,0.07138314619350962,0.7403660050208315,0,COMPLETE
48,6.57600111426307,0.922934516454266,-38.209129095289086,2026-04-18 15:31:04.228185,2026-04-18 15:31:04.956859,0 days 00:00:00.728674,0.8824968908625985,3,111,0.022146185013425825,16,142,5.3968335759085875e-08,5.801488380656161e-08,0.9287440237161425,0,COMPLETE
49,5.460546946988961,0.9384612923169702,-41.32184656257179,2026-04-18 15:31:04.957151,2026-04-18 15:31:06.472521,0 days 00:00:01.515370,0.9013512741035766,5,126,0.14028710807204534,96,285,2.434087969048871e-05,5.642953223871804e-08,0.9944004255291483,0,COMPLETE
50,19.7126496364195,0.5360111526833344,-14.444007575481333,2026-04-18 15:31:06.472802,2026-04-18 15:31:07.799518,0 days 00:00:01.326716,0.8090931317527976,7,104,0.0010866673777466193,80,481,7.04480806377519e-05,1.7285760734977495e-07,0.7975182385457563,1,COMPLETE
51,9.446424419828654,0.8733511573851492,-32.849903630901544,2026-04-18 15:31:07.799783,2026-04-18 15:31:08.724258,0 days 00:00:00.924475,0.6468268065710423,7,121,0.005050322074279213,90,375,0.00029870091504560114,5.103930927389519e-06,0.7403660050208315,1,COMPLETE
52,5.133073386018777,0.9441729328283623,-41.340949570470336,2026-04-18 15:31:08.724525,2026-04-18 15:31:09.717408,0 days 00:00:00.992883,0.8343102325093853,8,129,0.07308025547229001,29,181,2.897825120061561,0.00052821153945323,0.6727299868828402,1,COMPLETE
53,8.304310429757797,0.891107745964882,-35.11089603625091,2026-04-18 15:31:09.717703,2026-04-18 15:31:10.631376,0 days 00:00:00.913673,0.9844762255295657,8,91,0.006993477523765754,95,329,0.0010608115695043315,3.0632845126552133,0.6888431241882921,1,COMPLETE
54,20.154639942467078,0.515775240196078,-13.391772236298985,2026-04-18 15:31:10.631661,2026-04-18 15:31:11.209297,0 days 00:00:00.577636,0.7696888036987906,8,23,0.00265990765382994,68,181,2.897825120061561,0.001511010912721949,0.6708442717628196,1,COMPLETE
55,5.1838448113877975,0.9427832293039214,-41.138044252295416,2026-04-18 15:31:11.209579,2026-04-18 15:31:12.061193,0 days 00:00:00.851614,0.6143769095186968,10,69,0.053915976081982384,32,186,0.008745333795459427,1.4361158183889995,0.8196906658824482,1,COMPLETE
56,8.212682039778764,0.8951335865423943,-35.15098867187502,2026-04-18 15:31:12.061458,2026-04-18 15:31:13.520458,0 days 00:00:01.459000,0.9947547746402069,5,38,0.005974860857012641,82,371,0.9658611176861268,6.143857495033091e-07,0.6298202574719083,1,COMPLETE
57,6.494492099849538,0.9261435500756893,-37.23379956964616,2026-04-18 15:31:13.520716,2026-04-18 15:31:14.296045,0 days 00:00:00.775329,0.6163100566219055,7,24,0.023912141167670414,39,115,0.0005014057851649953,0.08510243330316114,0.6746074041599417,1,COMPLETE
58,5.674662386991312,0.9355683896099416,-39.67061404349568,2026-04-18 15:31:14.296360,2026-04-18 15:31:17.195987,0 days 00:00:02.899627,0.7824279936868144,7,129,0.008708668905847943,39,406,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,1,COMPLETE
59,9.09712875193174,0.8829610765302597,-33.24892066830318,2026-04-18 15:31:17.196341,2026-04-18 15:31:18.087930,0 days 00:00:00.891589,0.6137554084460873,3,77,0.004601160263509295,21,442,1.527156759251193,2.133142332373004e-06,0.798070764044508,1,COMPLETE
60,11.347739663643456,0.8361710170280491,-28.89515325324991,2026-04-18 15:31:18.088232,2026-04-18 15:31:19.177559,0 days 00:00:01.089327,0.9844762255295657,6,40,0.006993477523765754,32,186,1.4065519514511133,5.782560870607466e-07,0.7544410551203097,1,COMPLETE
61,5.24954836611866,0.9422108819502604,-41.37422808377153,2026-04-18 15:31:19.177811,2026-04-18 15:31:20.100700,0 days 00:00:00.922889,0.9193180715867101,3,34,0.05770902485860905,56,534,0.007074168123960424,1.1857478328321251,0.7356119164194803,1,COMPLETE
62,6.862036146172493,0.9143346774324037,-37.742035200568594,2026-04-18 15:31:20.100957,2026-04-18 15:31:20.835105,0 days 00:00:00.734148,0.9166316174903394,6,63,0.011803129808581628,95,246,7.491839140486663e-08,0.0034281912357116743,0.900949811775072,1,COMPLETE
63,20.371208142478608,0.5067853939522696,-12.910352345645018,2026-04-18 15:31:20.835378,2026-04-18 15:31:22.202132,0 days 00:00:01.366754,0.6225213102727349,9,21,0.001028055665573648,52,454,1.1036250149900698e-07,5.801488380656161e-08,0.6296178606936361,1,COMPLETE
64,5.249689463496895,0.941602008712301,-41.39235566686692,2026-04-18 15:31:22.202403,2026-04-18 15:31:23.165641,0 days 00:00:00.963238,0.8940284175215543,3,137,0.05920491279146766,67,549,0.170344601047587,1.1857478328321251,0.7356119164194803,1,COMPLETE
65,5.210650356033144,0.9430096943207914,-41.199181165400674,2026-04-18 15:31:23.165901,2026-04-18 15:31:23.883758,0 days 00:00:00.717857,0.7423890714605046,9,100,0.08518850836015658,48,159,0.06616297031744844,1.3475391688833286e-08,0.9594216754108317,1,COMPLETE
66,11.218046553155233,0.8409365031667344,-28.768518688774087,2026-04-18 15:31:23.884027,2026-04-18 15:31:25.309730,0 days 00:00:01.425703,0.8596841208464254,5,77,0.004601160263509295,20,285,1.527156759251193,2.133142332373004e-06,0.9944004255291483,1,COMPLETE
67,5.40359778970185,0.9397166801847376,-41.38110869477399,2026-04-18 15:31:25.309998,2026-04-18 15:31:26.221417,0 days 00:00:00.911419,0.828024468035746,5,92,0.042020550785392664,97,392,3.7274238226165594e-06,0.0034281912357116743,0.7499482318094817,1,COMPLETE
68,6.303236839150751,0.9266740753426482,-38.496209128408125,2026-04-18 15:31:26.221680,2026-04-18 15:31:26.748917,0 days 00:00:00.527237,0.8550229885420852,5,55,0.022717137441563427,49,131,0.9658611176861268,0.33405739074934476,0.6313825525369063,1,COMPLETE
69,5.164324522467021,0.9435347488712622,-41.216214895575334,2026-04-18 15:31:26.749201,2026-04-18 15:31:27.874701,0 days 00:00:01.125500,0.9474396512757841,6,40,0.032696659634451126,24,186,1.2099668294649193e-08,8.189245406796203e-08,0.8196906658824482,1,COMPLETE
70,8.856655105212184,0.8907591735364095,-33.31336830732384,2026-04-18 15:31:27.874972,2026-04-18 15:31:32.581874,0 days 00:00:04.706902,0.8858383690800249,6,21,0.003065949165065247,32,582,0.008745333795459427,3.3067782505821335e-06,0.9879515306830556,1,COMPLETE
71,5.30100701705586,0.9408708664641777,-41.52450993968437,2026-04-18 15:31:32.582199,2026-04-18 15:31:34.757797,0 days 00:00:02.175598,0.9947547746402069,6,138,0.08886694893516042,13,371,1.0478232320633702,0.001448575024622653,0.7277254550361659,1,COMPLETE
72,6.775537646076566,0.9225862159242665,-37.50772471378612,2026-04-18 15:31:34.758063,2026-04-18 15:31:35.543296,0 days 00:00:00.785233,0.828024468035746,5,38,0.014071026173708619,36,184,0.1165691561324743,0.0034281912357116743,0.7465447373174767,1,COMPLETE
73,8.02149640203575,0.8995902266830067,-35.313091485701584,2026-04-18 15:31:35.543581,2026-04-18 15:31:36.729960,0 days 00:00:01.186379,0.7007129183301457,10,93,0.005050322074279213,80,452,0.00029870091504560114,5.103930927389519e-06,0.9849789179768444,1,COMPLETE
74,6.692784834631903,0.9191852110892131,-37.61908114203108,2026-04-18 15:31:36.730414,2026-04-18 15:31:37.321598,0 days 00:00:00.591184,0.610140297366183,10,108,0.013289745828881445,79,221,4.611431184204183,0.0009653583548608157,0.6295186258941595,1,COMPLETE
75,6.4039475281537275,0.9216667133515862,-38.92077830044068,2026-04-18 15:31:37.321886,2026-04-18 15:31:38.333662,0 days 00:00:01.011776,0.941203782186944,3,76,0.006389974309230983,97,565,4.467247645704661e-06,0.07138314619350962,0.7403660050208315,1,COMPLETE
76,5.4295612052931554,0.9399632997354848,-41.305995550735055,2026-04-18 15:31:38.333933,2026-04-18 15:31:39.051530,0 days 00:00:00.717597,0.6232334448672797,10,146,0.14028710807204534,96,285,0.6245760287469893,0.002570603566117598,0.662397808134481,1,COMPLETE
77,10.93724681350243,0.8436995150535835,-29.584440191958482,2026-04-18 15:31:39.051814,2026-04-18 15:31:39.541568,0 days 00:00:00.489754,0.8940284175215543,5,86,0.013750188323380071,47,103,1.0927895733904103e-05,3.4539110844500054e-06,0.6888431241882921,1,COMPLETE
78,5.560723466451461,0.937725781633129,-40.19775006466726,2026-04-18 15:31:39.541832,2026-04-18 15:31:42.556933,0 days 00:00:03.015101,0.9795542149013333,7,99,0.008708668905847943,25,406,0.004619423115484311,6.267062696005991e-07,0.6260206371941118,1,COMPLETE
79,14.253585354706976,0.7500251953000211,-23.89219151702593,2026-04-18 15:31:42.557249,2026-04-18 15:31:44.078768,0 days 00:00:01.521519,0.8010548372420768,8,136,0.0033958127159684805,67,296,1.936088201918842e-07,0.00012327345918220902,0.9179245214166594,1,COMPLETE
80,14.975010724981354,0.7270313138008357,-22.43455323522371,2026-04-18 15:31:44.079036,2026-04-18 15:31:44.977893,0 days 00:00:00.898857,0.637469907131237,8,131,0.005106219018733596,69,184,7.491839140486663e-08,0.0034281912357116743,0.8784119186699892,1,COMPLETE
